"TYPE_CLASS_ID","IS_PAID","TYPE_CLASS_NAME","TYPE_CLASS_DESC","PERSON","OPERATE_DATE","COMMENTS"
"20","1","I17900","国际I17900业务","无","0",""
"1","0","IDD","国际直拨(含去向I200300)","无","0",""
"2","0","ISDN","国际ISDN业务","无","0",""
"3","0","CLI","来电显示","无","0",""
"4","1","HCD","国际直拨受付业务(含来向I200300)","无","0",""
"5","1","ITFS","国际800业务","无","0",""
"6","1","UIFN","全球800业务","无","0",""
"7","0","CLI_C","C网来电显示","无","0",""
"10","0","OTHER","其它","无","0",""
"11","0","IDD_C","C网漫游专用中继业务","无","0",""
"12","0","WLAN","WLAN","无","0",""
"13","0","SMS","短信","无","0",""
"14","0","IVPN","国际VPN","无","0",""
"15","0","I200300(DELETE)","20140211删除，中国I200，I300电话卡（去向为IDD，来向为受付业务）","无","0",""
"16","0","IDD_D","一卡双号","无","0",""
"17","1","WITS","会议通","无","0",""
"18","1","ITFS_400","ITFS_400","无","0",""
"19","0","IEP","宜通卡","无","0",""
"21","1","DID","直接拨入(Direct-Inward-Dialing)","jiaoll","20140807",""
